feature,ic_pearson,ic_p_pvalue,ic_spearman,ic_s_pvalue,ic_p_ci_lo,ic_p_ci_hi,sign_match,n,feat_std,abs_ic_p
fii_stats_bn_fut_buy_contracts,-0.1242309742066042,0.11638704837604989,-0.12376504181410046,0.11777388224774626,-0.2411047725278045,-0.018884081147335075,0.45962732919254656,161,3799.248634230848,0.1242309742066042
pvol_dii_total_long,-0.12415079722995849,0.11662478321489034,-0.1072780078214861,0.17557330812626815,-0.23582472876359267,0.001236317622887944,0.45962732919254656,161,363581.0364671341,0.12415079722995849
pvol_dii_fut_stk_long,-0.12393292299176278,0.117272716226432,-0.11079192546583853,0.16176815744363335,-0.23347482552611395,0.0019380436556765556,0.45962732919254656,161,343516.0900996129,0.12393292299176278
pvol_fii_opt_idx_ce_short,0.12377973023699952,0.11772996740282848,0.0960978835978836,0.2252624559729798,-0.013903638868739888,0.27233501798282184,0.5217391304347826,161,3575671.968870415,0.12377973023699952
pvol_dii_fut_stk_short,-0.1229424945206267,0.12025348063833152,-0.11415056360708536,0.1493475654283731,-0.24674462112716916,-0.024683075323739617,0.4720496894409938,161,345488.90873092914,0.1229424945206267
pvol_dii_total_short,-0.12215609148471787,0.12266179446401428,-0.09844432942259031,0.21408688073142618,-0.24290015928833622,-0.0037850006932506957,0.4720496894409938,161,353232.39777951385,0.12215609148471787
fii_stats_ni_fut_buy_crore,-0.12192125595096975,0.12338815450997083,-0.05678628939498506,0.4742997967356075,-0.2564899586524554,-0.008772361505035246,0.4720496894409938,161,2502.7471441907855,0.12192125595096975
fii_stats_ni_fut_buy_contracts,-0.12169005684576809,0.12410651199029149,-0.04933287324591673,0.534293625981441,-0.26143140653603286,0.03653259590668818,0.4720496894409938,161,15412.447071199158,0.12169005684576809
banknifty_pe_vol_total,0.12018364791590938,0.12886646903392374,-0.07526455026455027,0.3426686277386157,0.009030771442605546,0.256188837353486,0.4968944099378882,161,7547152.002995859,0.12018364791590938
nifty_atm_straddle,0.11871892142983392,0.13362824621085412,0.18221932111147363,0.020695597626671173,-0.01394257469414024,0.2539143144421925,0.5838509316770186,161,20676.58274875729,0.11871892142983392
poi_pro_opt_idx_ce_long,-0.11811736097213442,0.13562251570924855,-0.12572176213480565,0.1120350295115787,-0.24746464892090708,0.029284296405818866,0.4720496894409938,161,256341.12375160417,0.11811736097213442
banknifty_opt_idx_mkt_contracts,0.11738008147574601,0.13809767593140382,-0.07860305958132045,0.3216249517330479,-0.007748798103941324,0.25592759271009113,0.4968944099378882,161,15544336.778598493,0.11738008147574601
banknifty_ce_vol_total,0.11698324751479237,0.1394441063907833,-0.07924718196457328,0.31766313675082875,-0.005297503932408584,0.26178880890320877,0.5093167701863354,161,7848232.983847811,0.11698324751479237
fii_stats_idx_fut_eod_oi_crore,0.1145353045159897,0.1479720852252504,0.1055268000920175,0.18276988245028195,-0.13128974154090253,0.3557001980311043,0.5714285714285714,161,7875.183641748091,0.1145353045159897
fii_stats_ni_fut_eod_oi_contracts,0.11406115068234048,0.14966860361219744,0.11785426731078906,0.13650183712158814,-0.12434311811446529,0.366982045754485,0.5341614906832298,161,49729.68870389299,0.11406115068234048
fii_stats_bn_opt_buy_crore,0.11228447437077121,0.15615641266255248,-0.05662813434552566,0.47553356008528236,-0.013514640060328554,0.24347259971019547,0.45962732919254656,161,189093.3719295922,0.11228447437077121
fii_stats_bn_opt_sell_crore,0.11144792920493193,0.15928339074359465,-0.05584311019093628,0.4816832414169303,-0.019340443362111024,0.23782598848953002,0.45962732919254656,161,190159.06945602936,0.11144792920493193
poi_fii_total_net,-0.10999895681954665,0.16481026824009012,-0.17451415812213947,0.026821799821401583,-0.33133299845030584,0.10900333351472159,0.422360248447205,161,226910.3313378303,0.10999895681954665
poi_dii_fut_stk_short,-0.1072378629754228,0.1757359031960346,-0.11992466068553026,0.12969878694440104,-0.23781062620970705,0.042085864081501924,0.4720496894409938,161,233222.30059705614,0.1072378629754228
poi_client_fut_stk_net,-0.10711596938600847,0.17623027950898182,-0.10244133885438234,0.1959725006027303,-0.2451121972855575,0.03320100664835876,0.484472049689441,161,130929.48899605857,0.10711596938600847
fii_stats_idx_fut_eod_oi_contracts,0.10562229239902914,0.18237195819439325,0.10625431331953072,0.17975430779309381,-0.1527148035391642,0.31507692592183356,0.5341614906832298,161,62569.921730407965,0.10562229239902914
poi_dii_opt_idx_ce_short,0.10518038068802339,0.18421879186677384,0.11133228023822271,0.15971934881991934,-0.12287272097857083,0.3284985063549934,0.5590062111801242,161,407.3038901466219,0.10518038068802339
fii_stats_idx_opt_net_contracts,0.10504705333694817,0.1847786764244531,0.0837129054520359,0.29107073889521917,-0.06974408779006017,0.2687844925490663,0.546583850931677,161,71436.78815944828,0.10504705333694817
fii_stats_idx_opt_net_crore,0.10477221224929358,0.1859367564807585,0.07972452265930527,0.3147476780174889,-0.060821823920791065,0.288670918142471,0.546583850931677,161,12730.86177419483,0.10477221224929358
